CPH,ProducerID,TradingName,Date
35/104/0105/00,12574,G & M POVALL & SON,2016-01-05
37/030/0158/00,14573,FRIEND FARMS LTD,2016-01-06
35/022/0012/02,12347,R A FISK & SONS,2016-01-07
14/084/0011/00,29550,R & J MERRETT,2016-01-08
07/183/0085/00,2398,J B & G R ROSKILLY,2016-01-09
08/635/0027/,30558,T/A:W & MM CASE AND SONS,2016-01-10
07/144/0042/00,2211,R J & E J HEMMINGS,2016-01-11
07/171/0011/00,2331,M/S J M S K & J K SAWLE,2016-01-12
10/216/0006/00,6176,MRS J M WILLIAMS & SON,2016-01-13
14/309/0016/00,8534,E J EVANS,2016-01-14
21/112/0056/00,9830,THORNBER K,2016-01-15
07/114/0002/00,2058,R C EAMES & SON,2016-01-16
21/072/0287/00,9774,T & P B M PICKUP,2016-01-17
10/253/0129/00,6323,A J  H M & S J BURROUGH,2016-01-18
10/211/0046/00,6158,MESSRS D G & J Y HOOPER,2016-01-19
07/220/0004/00,2622,T/A: W K BUSE AND SON LTD,2016-01-20
21/387/0540/00,10595,K T WOOD & SON,2016-01-21
08/640/0028/,4275,M/S WILSON,2016-01-22
08/640/0072/,4276,G M & A M WILSON & SON,2016-01-23
09/296/0252/00,5067,G W NEVILLE,2016-01-24
10/253/0081/00,6315,LUXTON'S DAIRY,2016-01-25
08/352/0034/,3930,M/S L PARSONS & SON,2016-01-26
09/116/0047/00,4745,K E & H MILLS & SON,2016-01-27
14/347/0022/00,8575,L.S SIMMONS & PARTNERS,2016-01-28
07/122/0009/00,2121,T R D GRIFFIN & SON,2016-01-29
43/108/0003/00,16109,F KERBY & SON,2016-01-30
07/211/0015/00,2606,T A WILLS,2016-01-31
35/222/0010/00,12995,K J & M E PINCHES,2016-02-01
43/112/0139/00,16119,A W & J BRANDRETH & SON,2016-02-02
07/127/0033/,2152,B S & A M MARTIN,2016-02-03
55/443/0005/00,21137,A J D & MRS D A WILLIAMS,2016-02-04
43/108/0055/00,16115,F E & C J BARNETT,2016-02-05
35/083/0055/00,12484,A L & F L APPLEBY,2016-02-06
10/089/0037/00,30191,T/A: J L E PITTS & SON,2016-02-07
08/370/0051/,4004,P W & D M SWINDLEHURST,2016-02-08
10/465/0351/79,30518,T/A: G. A. MORTIMER & SONS,2016-02-09
08/371/0033/,29295,J R HANDLEY,2016-02-10
08/343/0002/,3894,J ALLONBY & SON,2016-02-11
08/352/0034/,3930,M/S L PARSONS & SON,2016-02-12
15/145/0003/00,8712,W F FISHER & SON,2016-02-13
06/239/0006/00,22964,G E & S W OAKES,2016-02-14
15/310/0005/03,8832,REX PATERSON (FARMS) LTD,2016-02-15
24/011/0010/00,11095,C G MUSSON & SONS LTD,2016-02-16
17/129/0034/00,9045,MR J M LOWE,2016-02-17
22/227/0017/00,10970,T SMITH & SONS LTD,2016-02-18
37/151/0006/00,15060,T SWIFT & SON,2016-02-19
21/211/0001/00,10225,WTC FARMS LTD,2016-02-20
37/140/0006/00,15024,TRUSTEES OF T G CAMBIDGE,2016-02-21
21/228/0001/00,10277,MR D E PICKERVANCE & SONS,2016-02-22
37/202/0011/00,15254,MESSRS F & E M BUXTON & PARTNERS,2016-02-23
21/155/0064/00,10027,D HARGREAVES & SON LTD,2016-02-24
35/038/0349/00,30455,CHRISTINE PAGE,2016-02-25
10/341/0110/00,30290,T/A: WESTCOTT DAIRY,2016-02-26
21/173/0001/00,10129,J & E A BARKER,2016-02-27
21/187/0011/00,10194,W & S AIREY,2016-02-28
21/188/0021/00,30386,T/A: J M & A E WALLBANK & SONS,2016-02-29
01/017/0151/00,6,A C TIMBURY,2016-03-01
10/237/0050/00,6298,MR M J HILLSON,2016-03-02
24/161/0020/00,30201,ANDREW  ROBERT  SALLY & DENISE SKELTON,2016-03-03
37/080/0039/00,14906,M M & C J SUTTON,2016-03-04
24/031/0093/00,30152,T/A: BUNKERS HILL FARM,2016-03-05
36/135/0051/,13566,R A & G E POLE,2016-03-06
14/309/0016/00,8534,E J EVANS,2016-03-07
36/403/0003/00,14209,D V & M E SWEET & SON,2016-03-08
36/416/0099/00,29641,DREAMERS FARM,2016-03-09
36/317/0004/00,13987,M/S R J  B I & G J BICKHAM,2016-03-10
07/029/0029/00,1705,MISS B A LAKE,2016-03-11
36/066/0012/02,13435,FINEFARM LTD,2016-03-12
14/076/0009/00,8264,B & C BAKER,2016-03-13
07/101/0040/00,2015,M P VARCOE & PARTNERS,2016-03-14
07/101/0038/00,2014,V P & H RETALLICK,2016-03-15
10/253/0129/00,6323,A J  H M & S J BURROUGH,2016-03-16
32/102/0020/00,11705,P W GODBER AND SONS,2016-03-17
33/334/0007/00,11908,MESSRS A G TWINE,2016-03-18
08/065/0140/00,3074,MR J W GRAHAM,2016-03-19
10/253/0081/00,6315,LUXTON'S DAIRY,2016-03-20
56/055/0075/00,21879,R G DAVIES,2016-03-21
56/253/0014/00,22305,WILLIAM EVANS & SON,2016-03-22
10/253/0030/00,6316,M/S N J & C A PYLE,2016-03-23
10/253/0113/00,6322,M/S H F CLAPP & SON,2016-03-24
45/055/0045/00,16502,P.H.BAKER,2016-03-25
14/273/0068/00,8480,DUCHY HOME FARM (TETBURY),2016-03-26
58/139/0024/00,22449,T ANTHONY & SONS,2016-03-27
37/188/0041/00,15166,MR D E FENTON,2016-03-28
21/249/0052/00,10348,J R SMITH & SONS,2016-03-29
21/001/0035/00,9588,A & V WALLBANK & SON,2016-03-30
36/395/0113/00,14169,GILCOMBE FARM,2016-03-31
57/034/0042/03,22377,V J THOMAS & SON LTD,2016-04-01
06/289/0001/00,1154,MR B L DODD,2016-04-02
07/118/0099/00,2083,W J RISDON & SONS,2016-04-03
21/148/0045/00,29333,BARBER FARMS,2016-04-04
21/152/0005/00,10014,H & V E JOLLY,2016-04-05
10/024/0289/00,5264,R K & S M HEARD LTD,2016-04-06
52/080/0023/00,18888,F  P G & A M SEVENOAKS,2016-04-07
10/425/0090/00,6976,DENNIS SMITH & PARTNERS,2016-04-08
07/205/0036/00,2551,P J GRYLLS & SONS,2016-04-09
07/208/0513/00,2541,A R & T S HOOPER,2016-04-10
09/009/0086/00,30039,DA & HA DAVIES,2016-04-11
52/104/0032/00,18916,G H DAULBY,2016-04-12
48/403/0001/00,17591,M/S J C BROWN & SON,2016-04-13
52/104/0020/00,18914,D H & V M MORGAN & SON,2016-04-14
37/227/0061/00,15371,K & M E HALL & SON,2016-04-15
07/157/0116/00,2258,E R & MRS I P WARD,2016-04-16
28/380/0006/00,29863,E S BURROUGHS AND SONS,2016-04-17
24/064/0005/00,11108,C A MOTTRAM & SONS,2016-04-18
08/057/0111/,3030,MESSRS SHARP LANGTHWAITE LTD,2016-04-19
24/011/0010/00,11095,C G MUSSON & SONS LTD,2016-04-20
60/038/0020/01,22597,T J & G E & R F PRICE,2016-04-21
10/161/0016/00,5826,R W H DILLING,2016-04-22
60/009/0095/00,22517,D W MEADMORE & SON,2016-04-23
17/237/0025/00,9140,MESSRS EINON PROBERT & SONS,2016-04-24
10/024/0227/00,30523,T/A: L J T G GOAMAN & SONS,2016-04-25
10/020/0002/00,5228,HARVEY BROS,2016-04-26
10/030/0173/00,29827,M J & J E WADE,2016-04-27
22/128/0002/00,10822,P & C ATTFIELD,2016-04-28
09/124/0036/00,4774,A SUTTON & SON,2016-04-29
06/286/0024/00,30305,T/A: MICHAEL  CAROL  DOROTHY & GEORGE COPE,2016-04-30
49/344/0083/00,18507,S  L & B SEARBY,2016-05-01
06/283/0032/00,1125,MRS E M & MR J T HUNTBACH,2016-05-02
09/114/0009/00,4738,J G & A M SPENDLOVE & SON,2016-05-03
07/016/0057/00,1629,T MOORE,2016-05-04
37/102/0018/00,14937,E DOCKSEY & SONS,2016-05-05
35/279/0067/00,30570,T/A:L E WESTON & SONS,2016-05-06
49/343/0706/00,18469,S BRIGG & SONS,2016-05-07
37/066/0014/00,14812,MRS F BRASSINGTON & R M BRASSINGTON,2016-05-08
09/200/0137/00,792,NORTHWOOD FARMS LTD,2016-05-09
