CPH,ProducerID,TradingName,Date
38/334/0029/00,30202,T/A: LONGWOOD FARM,2016-05-10
35/080/0069/00,12461,J R & D HUSSEY,2016-05-11
06/203/0005/00,803,R B & R D JONES,2016-05-12
06/039/0020/00,29567,A J & G M CLIFF,2016-05-13
37/032/0027/00,14590,M/S E M & M R PEARCE,2016-05-14
06/128/0016/00,593,C B DAVIES & PARTNERS,2016-05-15
33/022/0060/00,11787,W J AND M E WEALSBY,2016-05-16
06/093/0005/01,531,W H LITTLER & SON,2016-05-17
36/317/0004/00,13987,M/S R J  B I & G J BICKHAM,2016-05-18
14/001/0024/00,8186,R A PULLIN,2016-05-19
21/106/0255/00,9813,E  L M & S E BARNES,2016-05-20
08/370/0051/,4004,P W & D M SWINDLEHURST,2016-05-21
15/240/0371/01,30037,HG WITT AND SON,2016-05-22
21/119/0009/00,30102,M G WHITWELL LTD,2016-05-23
08/345/0014/,3901,M/S F N WILSON & PARTNERS,2016-05-24
38/102/0078/00,15556,FEN FARM DAIRY LTD,2016-05-25
21/112/0056/,9830,THORNBER K,2016-05-26
08/352/0034/,3930,M/S L PARSONS & SON,2016-05-27
10/105/0009/00,5525,M L & E M PERSEY,2016-05-28
56/237/0005/00,22193,S R MACHIN (CLOY HALL) LTD,2016-05-29
53/393/0058/00,19488,ET MORRIS AI FAB,2016-05-30
60/038/0020/01,22597,T J & G E & R F PRICE,2016-05-31
28/637/0005/00,11391,J NORTON & SONS,2016-06-01
36/143/0155/01,13606,G A QUICK & SONS,2016-06-02
37/020/0054/01,29645,J D  A M & P J HALL,2016-06-03
10/030/0173/00,29827,M J & J E WADE,2016-06-04
14/275/0018/00,8487,E L BROWN UNLIMITED,2016-06-05
42/115/0012/00,15935,C W F HUGHES & SON,2016-06-06
10/104/0009/00,5524,D VINCENT & KENVIN LTD,2016-06-07
14/282/0025/00,8501,J STAGG & SONS,2016-06-08
06/342/0075/00,1336,WHEELTON FARMS LTD,2016-06-09
37/064/0105/00,14770,C E HINE,2016-06-10
10/460/0019/00,7039,M/S C S COLWILL & SON,2016-06-11
10/389/0015/00,6804,W WALTERS & SONS,2016-06-12
41/023/0169/00,15733,OLD PLAW HATCH FARM LIMITED,2016-06-13
24/731/0016/00,25518,T/A: ME & ME DAVENPORT,2016-06-14
07/027/0024/00,1689,R W & J R FINNIMORE,2016-06-15
20/136/0165/00,9509,W F FARMS,2016-06-16
07/034/0008/00,30569,T/A: JB STATTON & SON,2016-06-17
35/083/0055/00,12484,A L & F L APPLEBY,2016-06-18
55/209/0012/00,20592,J R EDWARDS & H R MASON,2016-06-19
07/095/0028/00,1969,R & D HOPKINS,2016-06-20
08/381/0034/,4054,A & A M BURROW,2016-06-21
07/100/0177/00,2010,A.M.R. & MRS B.M. THOMAS,2016-06-22
06/219/0055/00,863,A F & D V SHALLCROSS,2016-06-23
10/171/0013/00,5863,M/S J J & D S WALE,2016-06-24
06/216/0028/00,852,JD FOWLES AND PARTNERS,2016-06-25
10/320/0056/00,6570,MESSRS D A SMOLDON,2016-06-26
22/410/0004/00,11081,JW GROOBY & SONS,2016-06-27
36/235/0012/00,30476,T/A: CREECH HILL PARTNERSHIP,2016-06-28
09/154/0020/00,4836,G D & M RODGERS & SONS,2016-06-29
10/056/0030/00,5358,M/S G J & L J WRIGHT,2016-06-30
36/135/0029/00,30321,T/A: CHANCELLORS DAIRY,2016-07-01
14/185/0204/00,8441,MR C G DAVIES,2016-07-02
37/144/0015/00,15041,MESSRS R MAYER & SONS,2016-07-03
10/105/0009/00,5525,M L & E M PERSEY,2016-07-04
11/060/0007/00,7220,F H & P J BAILEY,2016-07-05
11/035/0005/00,30551,T/A: MR STEPHEN VICKERY,2016-07-06
10/104/0009/00,5524,D VINCENT & KENVIN LTD,2016-07-07
10/206/0099/00,6125,K R STARR,2016-07-08
12/066/0005/00,7974,N & A D BRASS & SON,2016-07-09
37/121/0089/00,14970,M B JONES & PARTNERS,2016-07-10
10/118/0034/00,5632,W L PERSEY & SONS,2016-07-11
22/228/0141/00,29170,LEICESTERSHIRE HANDMADE CHEESE CO,2016-07-12
10/417/0006/03,29496,WASTENAGE FARMS LTD,2016-07-13
21/254/0025/00,10356,J SMITH & SONS (CHORLEY)LTD,2016-07-14
41/023/0169/00,15733,OLD PLAW HATCH FARM LIMITED,2016-07-15
07/109/0045/00,2039,MR R J COURT,2016-07-16
17/515/0018/00,9359,ROPER BLOODSTOCK,2016-07-17
07/030/0144/00,29144,R GOODMAN,2016-07-18
07/211/0015/00,2606,T A WILLS,2016-07-19
21/246/0081/00,10338,J & M  & E A  TAYLOR,2016-07-20
07/221/0016/00,2629,S E D RAIL & SON,2016-07-21
07/122/0029/00,2126,M/S E G BLUETT & SON,2016-07-22
17/072/0018/,29055,WALLIS FARMS LTD,2016-07-23
21/265/0022/00,10379,F & D T FISHER,2016-07-24
17/052/0160/00,29668,T/A: GOLDEN VALLEY GOATS LTD,2016-07-25
14/102/0009/00,8307,M M & T G MAYO,2016-07-26
06/026/0024/00,372,D & E PROBIN & SON,2016-07-27
56/247/9005/00,22213,P T MARTIN,2016-07-28
35/091/0009/01,12533,M E G & E M BENNETT & SONS,2016-07-29
07/137/0028/00,2188,R W DAVEY,2016-07-30
06/686/0004/00,1548,MESSRS R CRANK & SON,2016-07-31
06/134/0007/00,611,J E & H M RUTTER,2016-08-01
25/513/0159/00,11222,JON APPLEBY AND JOY APPLEBY,2016-08-02
06/440/0002/00,1511,HAROLD DAVIES & PARTNERS LTD,2016-08-03
10/201/0068/00,6100,M R  S J  & J E BURROUGH,2016-08-04
10/211/0007/00,6150,M B & K N CRABB,2016-08-05
10/400/0024/00,6868,E W KINGDOM,2016-08-06
24/432/0006/,11144,F W READ & SONS LTD,2016-08-07
35/099/0065/02,12564,EARL OF PLYMOUTH ESTATES,2016-08-08
21/160/0073/00,10073,A B & J PARKINSON & SONS,2016-08-09
56/023/0077/00,21733,A W STUDLEY & SONS,2016-08-10
56/096/0075/00,22021,R C & M I DAVIES,2016-08-11
56/091/0112/00,22015,S L & E W OWEN,2016-08-12
21/014/0138/00,29027,CAPRA PRODUCTS,2016-08-13
36/022/0406/,28959,PEPPERCORN FARM,2016-08-14
36/022/0298/00,13334,HOLE & SONS,2016-08-15
35/079/0009/00,12452,MRS P N ROYCROFT & SONS,2016-08-16
10/229/0048/00,6259,K B & A C TERRY,2016-08-17
10/392/0016/00,6818,MRS B M BAKER & SON,2016-08-18
36/239/0005/00,13838,OLIVE FARM (BABCARY) LTD,2016-08-19
10/076/0103/00,5441,W G & M T A DOWN,2016-08-20
42/038/0012/00,15866,THE GOODWOOD ESTATE COMPANY LTD,2016-08-21
10/080/0012/00,29239,T  P M & C T SQUIRE,2016-08-22
10/261/0099/00,6352,P A GRABHAM,2016-08-23
10/076/0133/01,29289,R W PARTRIDGE & SONS,2016-08-24
40/043/0156/,29133,CRT PIERREPONT FARM,2016-08-25
36/135/0029/00,30321,T/A: CHANCELLORS DAIRY,2016-08-26
10/425/0022/00,6970,R M & MRS S J MIDDLETON,2016-08-27
14/176/0007/00,8407,T H DAVIS & SON,2016-08-28
36/280/0201/00,13949,MESSRS A & R HEMBROW,2016-08-29
10/186/0044/00,5976,R J JAMES & SON,2016-08-30
17/116/0002/00,9038,C C ANDREWS,2016-08-31
17/079/0001/00,29573,C E RUDGE & SONS LTD,2016-09-01
17/201/0005/00,30544,T/A: J & M EDWARDS & SON,2016-09-02
06/287/0045/00,1177,T/A: TE & SE VAUGHAN,2016-09-03
53/229/0200/00,30318,T/A: RHIWLAS FARM PARTNERSHIP,2016-09-04
10/386/0027/00,29124,MAXWELL PILLAR,2016-09-05
14/185/0204/00,8441,MR C G DAVIES,2016-09-06
11/213/0003/02,7702,ERIC CRICHTON,2016-09-07
37/202/0011/00,15254,MESSRS F & E M BUXTON & PARTNERS,2016-09-08
06/139/0109/00,618,G J MOSS & SON,2016-09-09
06/148/0017/00,657,F E & M KENNERLEY & SON,2016-09-10
10/076/0133/01,29289,R W PARTRIDGE & SONS,2016-09-11
10/076/0122/00,29374,T/A J & H SEXTON,2016-09-12
36/239/0005/00,13838,OLIVE FARM (BABCARY) LTD,2016-09-13
08/674/0013/,4340,R B & L J SATTERTHWAITE & SON,2016-09-14
48/856/0017/00,18377,MESSRS N & J THWAITE,2016-09-15
08/640/0072/,4276,G M & A M WILSON & SON,2016-09-16
21/119/0009/,30102,M G WHITWELL LTD,2016-09-17
10/168/0034/00,30382,T/A: ROBERT G WOOLACOTT AND RICHARD F WOOLACOTT,2016-09-18
08/666/0013/,4329,M W HODGSON,2016-09-19
48/587/0001/00,17935,J R DODGSON & SON,2016-09-20
15/008/0089/01,8757,J R & D L WOLFE,2016-09-21
10/172/0055/01,5880,J G STEPHENS,2016-09-22
06/290/0011/00,1174,P & R ROBINSON,2016-09-23
36/398/0012/00,14189,P & R E KIMBER,2016-09-24
21/112/0056/,9830,THORNBER K,2016-09-25
15/220/0008/01,8763,M & P ELLIS,2016-09-26
06/294/0009/00,1190,N & E J GOODWIN,2016-09-27
10/233/0084/00,6282,D M & T J JAMES,2016-09-28
08/666/0002/,4328,D A & E M CLEASBY,2016-09-29
06/289/0030/00,1164,A P GLASSFORD & A G STONES,2016-09-30
15/257/0007/00,8795,A G LAMBERT AND PARTNERS,2016-10-01
10/282/0044/00,6420,R  MRS D  MA & MRS JG HIGGIN T/A,2016-10-02
35/267/0156/00,30200,JOHN HUXLEY,2016-10-03
56/062/0014/00,21895,K H THOMPSON & PARTNERS,2016-10-04
56/037/0032/00,30431,T/A: J.GWYNFOR JONES & PARTNERS,2016-10-05
56/019/0017/00,21710,T H & K JONES & SONS,2016-10-06
10/305/0008/00,6497,MR A M & K M HARVEY,2016-10-07
10/270/0033/00,6373,MR & MRS N M EKERS & SON,2016-10-08
07/051/0240/00,1804,J R  P M & D W TRELEAVEN,2016-10-09
21/007/0126/00,9640,T ER & VJ BOLTON,2016-10-10
07/094/0111/00,1960,ROBERTS & SONS,2016-10-11
21/422/0055/00,10557,W R CLARKE & PARTNERS,2016-10-12
36/320/0060/00,29398,HILL FARM DAIRY,2016-10-13
10/117/0099/00,29585,LEWIS FARMING,2016-10-14
08/382/0026/86,4061,J & R WALLER,2016-10-15
14/185/0034/00,8428,J & L GARSIDE,2016-10-16
07/137/0037/00,2189,MR R QUINN & MRS E QUINN,2016-10-17
56/091/0112/00,22015,S L & E W OWEN,2016-10-18
56/019/0017/00,21710,T H & K JONES & SONS,2016-10-19
56/096/0075/00,22021,R C & M I DAVIES,2016-10-20
21/174/0016/00,10139,P & M CRACKLES & SONS,2016-10-21
29/032/0129/00,30584,T/A: PILKINGTON FARMS LIMITED,2016-10-22
07/173/0039/ 0,2340,MARGARET & STEPHEN GREEN,2016-10-23
46/460/0018/00,17002,M P MASON,2016-10-24
09/095/0060/00,29477,T/A: P L & K J BOAM,2016-10-25
37/081/0068/00,14919,A & R NEEDHAM & SON,2016-10-26
17/363/0007/00,9202,D C  BIBBEY & SONS,2016-10-27
17/363/0011/00,9203,C WINDOW,2016-10-28
06/294/0053/00,1200,C J SUENSON-TAYLOR,2016-10-29
37/065/0150/00,14808,R & A WILLIAMSON,2016-10-30
37/102/0018/00,14937,E DOCKSEY & SONS,2016-10-31
07/060/0014/00,1843,MR M E & MRS J BEST,2016-11-01
17/147/0064/00,9066,BEACONHILL FARM,2016-11-02
20/229/0031/00,9527,A L BETTS LTD,2016-11-03
08/362/0017/,3963,MR H J ROBINSON & SONS,2016-11-04
35/244/0033/,13047,MR T D MORGAN,2016-11-05
08/337/0001/,3869,J K & A BOWNESS & SON,2016-11-06
22/135/0055/00,29234,T/A: E T TOMLINSON & SON,2016-11-07
41/056/0236/00,15755,P G T HOOK & SON,2016-11-08
41/099/0014/00,28927,JOHN S PILE (FARMS) LTD,2016-11-09
22/225/0076/00,30328,T/A: R & R KNOWLES,2016-11-10
07/110/0041/02,2045,R G DENNING & SONS,2016-11-11
07/212/0007/00,2608,J C DAWE & SON,2016-11-12
35/065/0017/00,12419,T/A  D A AND J L BENNION,2016-11-13
55/451/0113/00,21196,M/S D W & C M EVANS,2016-11-14
36/227/0015/02,13778,M/S T E CARY & SON,2016-11-15
34/671/0116/00,12211,M/S D F PLAISTER & SON,2016-11-16
35/091/0009/03,30468,T/A: MEG & EM BENNETT & SONS,2016-11-17
44/690/0057/00,28948,MRS M ENTWISTLE & SONS,2016-11-18
34/630/0033/01,12174,M/S T R CLEMENTS & SON,2016-11-19
10/392/0016/00,6818,MRS B M BAKER & SON,2016-11-20
35/137/0128/00,12623,MR C W MORRIS,2016-11-21
10/261/0099/00,6352,P A GRABHAM,2016-11-22
10/425/0022/00,6970,R M & MRS S J MIDDLETON,2016-11-23
21/014/0019/00,9672,R J & G L DEWHURST,2016-11-24
56/247/9005/00,22213,P T MARTIN,2016-11-25
11/035/0005/00,30551,T/A: MR STEPHEN VICKERY,2016-11-26
21/113/0010/00,29443,A R & C A PARKINSON,2016-11-27
21/121/0021/00,9881,J SEED & SONS,2016-11-28
11/033/0188/00,7200,CHILDHAY FARMING LTD,2016-11-29
48/391/0026/00,17545,M/S A & W HODGSON,2016-11-30
48/415/0001/00,17631,F DINSDALE & SONS,2016-12-01
48/413/0029/00,17623,METCALFE FARMS,2016-12-02
48/415/0011/00,17634,W N AVISON & SON,2016-12-03
17/477/0179/00,30613,T/A: J W LODGE,2016-12-04
08/674/0013/,4340,R B & L J SATTERTHWAITE & SON,2016-12-05
06/380/0039/00,1447,D THORNHILL,2016-12-06
06/301/0004/00,1226,P B & D HOCKENHULL,2016-12-07
37/079/0210/00,14884,R J SALT,2016-12-08
06/242/0018/00,965,MESSRS K M NEWTON & PARTNERS,2016-12-09
37/053/0029/00,14678,E C HINE & SON,2016-12-10
40/138/0215/00,15702,NALDRETT & PARTNERS,2016-12-11
41/147/0018/00,15840,ATHERALLS FARM LTD,2016-12-12
36/263/0038/00,13898,J R DILL & SON,2016-12-13
41/099/0014/00,28927,JOHN S PILE (FARMS) LTD,2016-12-14
36/057/0020/01,28858,J HILL GOATS LTD,2016-12-15
37/223/0101/00,30515,T/A: HIGH ASH FARM,2016-12-16
44/623/0398/,16274,B S ROBERTS & SON,2016-12-17
22/227/0017/00,10970,T SMITH & SONS LTD,2016-12-18
55/219/0260/00,30179,JAMES ARTHER PARKER,2016-12-19
49/498/0032/00,18652,T D GOODALL,2016-12-20
49/349/1598/00,30111,CHLOE BROWN,2016-12-21
49/355/0383/00,30064,GILLIAN R CLOUGH & TIMOTHY M CLOUGH,2016-12-22
06/154/0018/00,683,W.J. & A.F. BARON,2016-12-23
55/252/0044/00,30142,T/A: MESSRS FERRARO,2016-12-24
10/030/0173/00,29827,M J & J E WADE,2016-12-25
08/057/0011/,3022,J & W WEARING,2016-12-26
08/053/0097/,29100,C & A J WOODHOUSE,2016-12-27
10/024/0289/00,5264,R K & S M HEARD LTD,2016-12-28
10/276/0020/00,6394,M & R  DUNN,2016-12-29
17/515/0018/00,9359,ROPER BLOODSTOCK,2016-12-30
55/202/0181/00,20525,D H & A M LL JENKINS,2016-12-31
10/270/0033/00,6373,MR & MRS N M EKERS & SON,2017-01-01
10/280/0041/00,6410,M/S B T & I MOORE,2017-01-02
10/284/0082/00,6457,R G & H E M REEVE,2017-01-03
49/349/1066/00,18547,H SOUTHWELL AND SON,2017-01-04
42/038/0012/00,15866,THE GOODWOOD ESTATE COMPANY LTD,2017-01-05
49/349/1004/00,18537,T & J G SMITH,2017-01-06
36/398/0012/00,14189,P & R E KIMBER,2017-01-07
42/458/0037/00,30068,T/A: TOP PADDOCK FARMING PARTNERSHIP,2017-01-08
49/528/0547/00,18685,M/S H GOODALL & SONS,2017-01-09
56/206/0096/00,22073,H W OULTRAM & CO,2017-01-10
07/095/0028/00,1969,R & D HOPKINS,2017-01-11
17/092/0024/00,901,H & C M MADDOCK,2017-01-12
40/067/0095/00,15643,C & V COLEBROOK,2017-01-13
10/071/0900/00,29569,B H & A E WORTH,2017-01-14
07/137/0037/,2189,MR R QUINN & MRS E QUINN,2017-01-15
55/202/0190/00,30065,T/A: HR & GM THOMAS,2017-01-16
17/211/0044/00,30487,T/A: CA & AJ GOODWIN,2017-01-17
56/044/0027/00,21817,G O & G WILLIAMS,2017-01-18
48/861/0045/00,18396,M/S A & E D BOOTH,2017-01-19
06/325/0009/00,1283,WINCHAM HOLSTEINS LIMITED,2017-01-20
48/871/0018/00,18407,MR I WRIGHT,2017-01-21
48/871/0009/00,18406,MR R A BOOTH & SONS,2017-01-22
48/845/0015/00,18349,E  B & S COULTHERD,2017-01-23
36/102/0026/00,13520,G & A SPEED,2017-01-24
48/845/0017/00,18351,MESSRS J W DAWSON & SONS,2017-01-25
41/110/0183/00,30302,T/A: CLEAVERS FARM,2017-01-26
48/845/0043/00,18359,G PARKER & CO,2017-01-27
56/043/0013/00,21798,A E & E M OWEN & SONS,2017-01-28
41/099/0014/00,28927,JOHN S PILE (FARMS) LTD,2017-01-29
56/041/0046/00,21793,P D & M HILL,2017-01-30
56/076/0052/00,21947,T IEUAN PARRY,2017-01-31
56/070/0008/00,29106,D E & K S ROBERTS,2017-02-01
56/040/0041/00,21783,MRS A M JONES & SON,2017-02-02
06/055/0002/01,30193,T/A: H S BOURNE,2017-02-03
06/237/0022/00,932,MR R C HOLLINSHEAD,2017-02-04
56/076/0126/,21952,HUDSON FARMING,2017-02-05
56/040/0041/,21783,MRS A M JONES & SON,2017-02-06
56/036/0021/,21754,H K HULME,2017-02-07
22/228/0141/00,29170,LEICESTERSHIRE HANDMADE CHEESE CO,2017-02-08
21/133/0004/00,9915,CHADWICK & LEAVER,2017-02-09
08/666/0002/,4328,D A & E M CLEASBY,2017-02-10
10/379/0027/00,6786,M/S G A & G W STONE,2017-02-11
08/362/0017/,3963,MR H J ROBINSON & SONS,2017-02-12
36/022/0298/00,13334,HOLE & SONS,2017-02-13
21/035/0043/00,9736,R J & J E SEEDALL,2017-02-14
34/630/0033/01,12174,M/S T R CLEMENTS & SON,2017-02-15
45/121/0018/00,16622,W D & B P ROSE & SON,2017-02-16
44/690/0057/00,28948,MRS M ENTWISTLE & SONS,2017-02-17
45/023/0060/00,16430,A G JENNINGS,2017-02-18
09/099/0015/02,4709,D W & L K MYCOCK,2017-02-19
17/194/0014/00,9111,MESSRS T J CRACKNELL & SONS,2017-02-20
22/045/0007/00,10776,W C HILL & SONS,2017-02-21
41/073/0106/00,15777,HOLLYPARK ORGANICS,2017-02-22
48/871/7000/00,29053,C R & J A BOOTH,2017-02-23
22/303/0024/00,11047,TG & DM WATCHORN LTD,2017-02-24
11/437/0006/00,28782,D DALTON & SON LTD,2017-02-25
22/320/0097/00,11070,A J GREAVES & SON,2017-02-26
20/071/0169/00,9479,LITTLE ACRES GOAT PRODUCTS,2017-02-27
21/184/0059/00,10182,M/S D G & V J & M LAWSON,2017-02-28
51/110/0008/00,18741,H  M W & K C ARTLEY,2017-03-01
21/415/0029/00,10519,G ATKINSON & SON,2017-03-02
11/288/0021/00,7872,SHEILING TRUST  STURTS FARM COMMUNITY,2017-03-03
21/415/0015/00,10513,J T & B FOX,2017-03-04
11/262/0009/01,7829,ASHTON FARM A/C SIR R L GLYN,2017-03-05
10/020/0018/00,5233,V & M BROWN & SON,2017-03-06
33/311/0031/00,30498,T/A: KINGSTON HILL FARM LTD,2017-03-07
07/110/0041/02,2045,R G DENNING & SONS,2017-03-08
48/854/0010/00,18371,MR M L & MRS J E KAYLEY & SON,2017-03-09
37/081/0068/00,14919,A & R NEEDHAM & SON,2017-03-10
17/110/0003/00,9035,F C PRICE AND SONS,2017-03-11
48/813/0005/00,18250,M & R SMITH,2017-03-12
07/173/0039/00,2340,MARGARET & STEPHEN GREEN,2017-03-13
